Breed,Weight_kg
Samoyed,20.1
Soft Coated Wheaten Terrier,15.8
Labrador Retriever,28.7
German Shepherd Dog,33.9
Collie,31.2
English Cocker Spaniel,13.3
German Shepherd Dog,27.9
Bulldog,21.9
Portuguese Water Dog,20.5
Siberian Husky,22.1
Shih Tzu,5.6
German Shepherd Dog,33.6
Border Terrier,5.9
Irish Setter,28.9
Wirehaired Pointing Griffon,23.5
Labrador Retriever,30.8
Pembroke Welsh Corgi,13.1
Pembroke Welsh Corgi,13.1
Shiba Inu,9.2
Bull Terrier,25.8
Shiba Inu,8.9
Cairn Terrier,6.2
Saint Bernard,68.3
Chinese Shar-Pei,26.8
Chinese Crested,4.7
Pomeranian,2.7
Border Collie,16.5
Brussels Griffon,4.0
Shiba Inu,8.5
Poodle (Miniature),5.4
English Cocker Spaniel,14.0
Scottish Terrier,9.1
Poodle (Standard),24.4
Bullmastiff,58.5
French Bulldog,12.7
Bernese Mountain Dog,40.4
Bulldog,21.4
Labrador Retriever,30.0
Rottweiler,51.1
Samoyed,20.5
Newfoundland,55.1
Norwegian Elkhound,22.4
Shetland Sheepdog,9.4
Cocker Spaniel,11.8
Cocker Spaniel,10.7
German Shepherd Dog,30.8
Whippet,14.5
Boxer,24.5
Bernese Mountain Dog,36.0
Golden Retriever,32.0
Papillon,3.5
Dalmatian,27.0
Boxer,32.1
Irish Wolfhound,51.1
Shiba Inu,10.2
Shetland Sheepdog,8.9
German Wirehaired Pointer,26.3
Rottweiler,43.8
Border Collie,13.6
English Springer Spaniel,20.7
Poodle (Standard),26.6
Yorkshire Terrier,3.2
Border Collie,17.4
Rhodesian Ridgeback,35.0
Great Dane,67.5
Miniature Schnauzer,7.3
Yorkshire Terrier,3.2
Pomeranian,2.5
Great Pyrenees,40.6
French Bulldog,12.7
Australian Shepherd,22.9
Collie,27.4
Bulldog,21.3
Poodle (Miniature),4.7
Tibetan Terrier,10.2
Poodle (Standard),23.8
Great Dane,61.1
Rottweiler,54.6
Labrador Retriever,31.4
German Shepherd Dog,29.2
Weimaraner,32.9
German Shepherd Dog,32.2
Bulldog,21.7
Boxer,20.3
Bulldog,20.8
Bichon Frise,7.2
Siberian Husky,21.3
Yorkshire Terrier,3.2
Pug,7.0
Brittany,15.2
Havanese,4.7
Chinese Crested,4.7
Norwegian Elkhound,22.4
Shetland Sheepdog,9.9
Scottish Terrier,9.2
Bull Terrier,23.8
Irish Wolfhound,52.1
Beagle,8.0
Newfoundland,56.9
Golden Retriever,30.7
Bulldog,21.7
Labrador Retriever,29.7
Bulldog,19.7
Pembroke Welsh Corgi,13.1
German Shorthaired Pointer,23.2
Golden Retriever,29.7
Labrador Retriever,32.7
Lhasa Apso,7.1
Pembroke Welsh Corgi,13.3
Bloodhound,43.5
English Springer Spaniel,21.3
Border Terrier,5.7
Boxer,29.9
Australian Cattle Dog,21.2
Standard Schnauzer,15.9
German Shepherd Dog,35.0
Leonberger,60.6
French Bulldog,12.7
Cavalier King Charles Spaniel,7.7
Labrador Retriever,29.0
Cavalier King Charles Spaniel,6.9
Cocker Spaniel,11.4
Pug,7.1
Yorkshire Terrier,3.2
Old English Sheepdog,38.4
French Bulldog,12.7
Norwegian Elkhound,23.8
Boykin Spaniel,15.0
Labrador Retriever,26.5
Great Pyrenees,40.9
Lhasa Apso,6.8
Golden Retriever,29.3
Australian Shepherd,26.4
Labrador Retriever,29.1
Poodle (Standard),23.8
Norwegian Elkhound,23.5
Bouvier des Flandres,36.0
Border Collie,14.9
Shetland Sheepdog,7.8
Newfoundland,50.4
Golden Retriever,29.6
Poodle (Standard),25.4
Chow Chow,28.7
Doberman Pinscher,38.1
Dalmatian,24.5
Dogue de Bordeaux,47.8
Doberman Pinscher,38.8
American Staffordshire Terrier,25.2
Doberman Pinscher,35.0
Poodle (Miniature),4.9
Chihuahua,2.7
Mastiff,71.5
Poodle (Miniature),5.7
Pug,7.3
Doberman Pinscher,34.4
Norwegian Elkhound,23.5
Great Pyrenees,42.2
Border Collie,20.9
French Bulldog,12.7
Shih Tzu,6.2
Airedale Terrier,27.4
Labrador Retriever,32.1
Bulldog,19.6
English Springer Spaniel,20.7
Cavalier King Charles Spaniel,7.0
Labrador Retriever,31.9
Pembroke Welsh Corgi,13.2
Poodle (Miniature),5.6
English Cocker Spaniel,13.2
Great Dane,67.0
Labrador Retriever,29.3
Poodle (Miniature),6.0
Pomeranian,1.8
Alaskan Malamute,35.8
Weimaraner,34.9
Labrador Retriever,31.4
Great Dane,58.8
Bernese Mountain Dog,42.5
Beagle,10.0
Beagle,11.6
Standard Schnauzer,19.0
Australian Shepherd,24.4
Bichon Frise,6.9
Shih Tzu,4.9
Great Pyrenees,40.6
Cocker Spaniel,11.1
Havanese,4.0
Golden Retriever,27.8
German Shepherd Dog,31.7
Bichon Frise,6.9
Weimaraner,35.4
Havanese,4.2
Border Terrier,6.1
Australian Cattle Dog,19.2
Poodle (Standard),28.8
Yorkshire Terrier,3.2
Flat-Coated Retriever,29.1
Soft Coated Wheaten Terrier,16.4
Labrador Retriever,32.5
Great Pyrenees,41.6
Bloodhound,44.8
Rottweiler,45.7
Poodle (Standard),26.2
Australian Shepherd,23.5
Maltese,3.2
Bouvier des Flandres,38.1
Papillon,3.4
Siberian Husky,17.2
Pembroke Welsh Corgi,13.2
Soft Coated Wheaten Terrier,17.3
Poodle (Standard),26.0
Bullmastiff,53.9
Belgian Malinois,23.8
Samoyed,22.7
Shetland Sheepdog,7.9
Bloodhound,44.9
German Wirehaired Pointer,28.1
Siberian Husky,22.9
Chinese Shar-Pei,25.3
Shetland Sheepdog,8.4
Anatolian Shepherd Dog,48.8
Vizsla,24.0
German Shepherd Dog,32.2
Bloodhound,43.3
Bulldog,20.9
French Bulldog,12.7
Standard Schnauzer,18.1
Great Pyrenees,44.2
Leonberger,66.1
Belgian Malinois,25.8
Bloodhound,44.3
Russell Terrier,6.3
Basset Hound,20.3
Lhasa Apso,7.0
Portuguese Water Dog,22.8
Giant Schnauzer,34.5
Collie,32.7
Siberian Husky,22.1
Beagle,10.0
Pomeranian,2.6
Boxer,16.2
Irish Wolfhound,49.7
Shih Tzu,4.9
German Shepherd Dog,33.6
Mastiff,74.0
English Setter,23.3
Pomeranian,1.8
Golden Retriever,30.2
Soft Coated Wheaten Terrier,15.3
Shetland Sheepdog,8.8
Golden Retriever,28.5
Cocker Spaniel,10.9
German Shorthaired Pointer,28.1
Miniature Schnauzer,7.6
Labrador Retriever,29.3
Dalmatian,26.0
Dachshund,13.1
Australian Cattle Dog,20.9
Rottweiler,45.6
French Bulldog,12.7
English Springer Spaniel,20.5
Shih Tzu,5.8
Dachshund,9.2
Standard Schnauzer,17.0
Brittany,15.5
Tibetan Terrier,10.7
Miniature American Shepherd,13.7
German Shepherd Dog,30.7
Cardigan Welsh Corgi,13.7
Weimaraner,31.0
Poodle (Miniature),6.0
Portuguese Water Dog,23.5
Labrador Retriever,30.3
Cairn Terrier,6.1
Lagotto Romagnolo,13.8
Chesapeake Bay Retriever,30.9
Pug,7.1
Bernese Mountain Dog,42.7
Vizsla,22.1
Poodle (Miniature),5.7
Keeshond,18.2
Pekingese,6.4
Chihuahua,2.7
Dachshund,7.5
English Springer Spaniel,20.6
Australian Cattle Dog,19.8
Siberian Husky,23.6
Belgian Malinois,23.3
Scottish Terrier,9.2
Bernese Mountain Dog,46.6
Norwegian Elkhound,23.6
Great Dane,59.7
Poodle (Toy),2.3
Rottweiler,54.0
Standard Schnauzer,17.8
Leonberger,61.3
Great Dane,63.7
Labrador Retriever,26.5
Keeshond,20.0
Havanese,4.9
Pomeranian,2.7
Nova Scotia Duck Tolling Retriever,20.5
Labrador Retriever,33.7
Dachshund,10.3
Shih Tzu,5.4
Bulldog,20.3
Labrador Retriever,28.3
Chihuahua,2.7
Great Dane,68.3
Chow Chow,23.2
Vizsla,23.6
Dachshund,9.3
Wirehaired Pointing Griffon,21.8
West Highland White Terrier,7.2
West Highland White Terrier,7.7
Siberian Husky,22.4
Airedale Terrier,29.8
Saint Bernard,68.3
Cairn Terrier,6.2
Alaskan Malamute,37.9
Dogue de Bordeaux,48.0
Newfoundland,51.8
Beagle,8.2
Cocker Spaniel,11.6
Australian Shepherd,24.9
Doberman Pinscher,34.1
German Shepherd Dog,34.1
Collie,27.5
Australian Shepherd,22.0
Newfoundland,58.8
Poodle (Miniature),4.9
Miniature American Shepherd,12.5
Bulldog,20.5
Giant Schnauzer,30.0
West Highland White Terrier,7.2
Golden Retriever,29.3
Belgian Malinois,25.1
Poodle (Standard),27.4
Poodle (Toy),2.2
French Bulldog,12.7
French Bulldog,12.7
Pomeranian,2.1
German Shorthaired Pointer,23.6
Bouvier des Flandres,36.3
Pomeranian,2.4
Bernese Mountain Dog,44.6
Mastiff,73.4
Shih Tzu,5.0
Doberman Pinscher,31.2
Norwegian Elkhound,24.2
German Shepherd Dog,33.9
Chow Chow,23.9
Great Dane,60.8
Siberian Husky,22.8
Labrador Retriever,30.4
Italian Greyhound,4.2
Golden Retriever,29.6
Golden Retriever,29.7
Cavalier King Charles Spaniel,7.1
Great Pyrenees,40.2
Italian Greyhound,5.5
Poodle (Miniature),5.9
German Shorthaired Pointer,23.9
Bull Terrier,26.2
Australian Cattle Dog,18.8
Bichon Frise,6.9
American Staffordshire Terrier,25.0
Poodle (Miniature),5.4
Pomeranian,2.5
Irish Setter,29.7
Bulldog,20.6
Australian Shepherd,22.1
Staffordshire Bull Terrier,14.0
English Cocker Spaniel,13.9
Great Dane,78.0
Siberian Husky,21.4
Border Collie,24.4
Chinese Crested,4.4
Rottweiler,48.9
Great Pyrenees,42.7
Labrador Retriever,27.2
German Shepherd Dog,34.3
Border Terrier,6.3
Havanese,4.5
Boston Terrier,7.9
Poodle (Toy),2.5
Cavalier King Charles Spaniel,7.4
Miniature Pinscher,4.2
Bull Terrier,26.7
Labrador Retriever,31.7
Whippet,14.3
Portuguese Water Dog,20.5
Dogue de Bordeaux,46.6
Labrador Retriever,29.4
Pug,7.2
Dalmatian,25.4
Dachshund,10.1
German Shepherd Dog,32.1
American Staffordshire Terrier,27.2
West Highland White Terrier,7.7
Great Pyrenees,42.5
Beagle,9.7
Pomeranian,2.3
West Highland White Terrier,7.4
Poodle (Standard),22.6
Boxer,17.2
Old English Sheepdog,36.4
Dalmatian,26.9
Leonberger,61.9
Cardigan Welsh Corgi,13.7
Vizsla,23.1
Belgian Malinois,22.2
Boykin Spaniel,15.6
Cavalier King Charles Spaniel,7.2
Old English Sheepdog,38.2
Mastiff,71.9
American Staffordshire Terrier,23.8
Golden Retriever,28.8
Labrador Retriever,30.3
Old English Sheepdog,32.9
American Staffordshire Terrier,25.1
West Highland White Terrier,7.7
English Cocker Spaniel,14.7
Collie,28.2
Yorkshire Terrier,3.2
Bulldog,20.0
American Staffordshire Terrier,21.3
Anatolian Shepherd Dog,52.7
Greater Swiss Mountain Dog,52.6
Bloodhound,43.0
Poodle (Standard),26.6
Tibetan Terrier,11.6
Doberman Pinscher,39.5
Dogue de Bordeaux,47.4
Chinese Shar-Pei,21.6
French Bulldog,12.7
Labrador Retriever,32.5
Brittany,16.5
Labrador Retriever,30.2
Coton de Tulear,4.8
Papillon,3.1
French Bulldog,12.7
Chihuahua,2.7
Soft Coated Wheaten Terrier,15.5
Irish Wolfhound,52.4
Golden Retriever,30.5
Labrador Retriever,30.1
Soft Coated Wheaten Terrier,14.8
Doberman Pinscher,39.7
Boxer,26.5
French Bulldog,12.7
Golden Retriever,29.0
Airedale Terrier,28.3
Cavalier King Charles Spaniel,7.3
Basset Hound,22.7
Bulldog,20.4
German Shepherd Dog,31.9
Bulldog,20.9
Rat Terrier,7.5
German Shepherd Dog,40.2
Beagle,12.1
Poodle (Standard),25.5
German Wirehaired Pointer,26.9
Rhodesian Ridgeback,35.2
Pembroke Welsh Corgi,13.0
Shih Tzu,5.4
Golden Retriever,28.6
Beagle,9.6
Newfoundland,51.4
Poodle (Toy),2.5
German Shepherd Dog,32.9
German Shepherd Dog,30.9
Havanese,4.4
Golden Retriever,30.1
Coton de Tulear,5.3
Wirehaired Pointing Griffon,22.6
Cairn Terrier,6.1
French Bulldog,12.7
Weimaraner,33.2
Alaskan Malamute,37.3
Labrador Retriever,31.6
Shiba Inu,9.1
German Shorthaired Pointer,22.4
Cavalier King Charles Spaniel,7.5
Poodle (Standard),20.8
Belgian Malinois,25.1
Yorkshire Terrier,3.2
Boxer,18.9
Bernese Mountain Dog,37.8
Yorkshire Terrier,3.2
Vizsla,25.2
Golden Retriever,29.6
Pembroke Welsh Corgi,12.9
Mastiff,73.6
Whippet,13.9
Whippet,14.8
Collie,26.4
Australian Cattle Dog,20.1
English Cocker Spaniel,13.5
Shiba Inu,9.6
Giant Schnauzer,34.2
Mastiff,104.3
Shih Tzu,5.7
Beagle,10.9
Boston Terrier,9.2
Poodle (Toy),2.4
Rhodesian Ridgeback,36.6
Labrador Retriever,33.0
Miniature American Shepherd,13.4
Rhodesian Ridgeback,35.5
Cardigan Welsh Corgi,13.3
Australian Shepherd,24.1
Beagle,9.0
Akita,53.3
Golden Retriever,29.9
Soft Coated Wheaten Terrier,14.8
Boxer,16.3
Boston Terrier,8.3
Dachshund,8.1
Bernese Mountain Dog,39.4
Alaskan Malamute,36.5
Samoyed,22.1
Tibetan Terrier,9.9
French Bulldog,12.7
Doberman Pinscher,34.5
French Bulldog,12.7
German Shepherd Dog,28.9
Belgian Malinois,23.1
Chihuahua,2.7
Shiba Inu,9.3
Bulldog,19.6
Golden Retriever,28.6
Golden Retriever,30.9
Rottweiler,49.3
Chinese Shar-Pei,24.0
Alaskan Malamute,36.2
Beagle,10.9
Belgian Malinois,30.7
Cocker Spaniel,11.1
Poodle (Miniature),5.5
Siberian Husky,20.9
Labrador Retriever,32.5
Basenji,10.4
Labrador Retriever,30.3
Belgian Malinois,27.3
Labrador Retriever,29.8
Australian Shepherd,22.9
Dalmatian,31.5
Poodle (Miniature),5.0
Golden Retriever,30.7
Weimaraner,37.6
Coton de Tulear,4.9
French Bulldog,12.7
Shiba Inu,8.8
Samoyed,22.8
Australian Shepherd,24.3
Cocker Spaniel,11.0
Bulldog,21.6
Brittany,16.4
Portuguese Water Dog,22.2
Labrador Retriever,26.6
Doberman Pinscher,36.2
Poodle (Standard),24.7
Shih Tzu,4.6
Boston Terrier,8.3
Poodle (Toy),2.4
Chinese Crested,3.9
Pug,6.6
Beagle,11.7
Greater Swiss Mountain Dog,47.1
Samoyed,21.3
Golden Retriever,27.3
Great Dane,69.9
Tibetan Terrier,11.4
Chesapeake Bay Retriever,32.0
Bull Terrier,26.8
Samoyed,20.9
Border Terrier,5.9
Wirehaired Pointing Griffon,25.3
Belgian Malinois,22.5
German Shepherd Dog,28.8
Norwegian Elkhound,23.0
Labrador Retriever,33.8
Akita,42.2
Rhodesian Ridgeback,34.5
German Shepherd Dog,31.5
Miniature Schnauzer,5.8
German Shepherd Dog,28.2
Coton de Tulear,5.3
Bulldog,21.5
Brussels Griffon,4.0
Siberian Husky,22.1
Doberman Pinscher,33.4
Shih Tzu,4.8
Shetland Sheepdog,11.0
Collie,30.1
Bernese Mountain Dog,40.7
Great Dane,67.4
Golden Retriever,30.8
Miniature Pinscher,3.9
Pembroke Welsh Corgi,13.2
Rottweiler,56.0
Bichon Frise,7.7
Great Dane,67.6
Vizsla,22.1
Mastiff,73.5
German Shepherd Dog,35.3
Chinese Shar-Pei,22.1
German Shorthaired Pointer,27.6
Bernese Mountain Dog,41.9
German Shorthaired Pointer,21.2
Bernese Mountain Dog,42.3
Pembroke Welsh Corgi,13.5
Great Dane,66.3
Bullmastiff,52.1
Lagotto Romagnolo,13.0
Standard Schnauzer,16.1
Labrador Retriever,27.9
Samoyed,19.1
Airedale Terrier,26.2
Poodle (Miniature),6.0
French Bulldog,12.7
Yorkshire Terrier,3.2
Labrador Retriever,32.2
Miniature Pinscher,4.0
German Shepherd Dog,36.1
Poodle (Standard),26.3
Bull Terrier,29.6
Rottweiler,42.2
Australian Shepherd,25.0
Boxer,18.5
Cavalier King Charles Spaniel,7.0
Coton de Tulear,5.5
Irish Setter,28.5
Boxer,17.1
Beagle,9.6
German Shepherd Dog,34.5
Irish Wolfhound,52.5
Yorkshire Terrier,3.2
Basset Hound,25.4
Labrador Retriever,31.0
Keeshond,17.4
Bull Terrier,26.6
Beagle,8.9
Irish Wolfhound,50.3
Doberman Pinscher,35.1
Basenji,10.3
Belgian Malinois,28.6
Bouvier des Flandres,41.4
Coton de Tulear,6.3
Lhasa Apso,6.6
Old English Sheepdog,35.3
Dogue de Bordeaux,47.1
Whippet,15.1
Bloodhound,44.1
English Cocker Spaniel,13.7
Italian Greyhound,4.9
Golden Retriever,30.9
Wirehaired Pointing Griffon,18.4
Labrador Retriever,30.4
Poodle (Miniature),6.0
German Shepherd Dog,27.5
Shiba Inu,9.4
Poodle (Standard),25.3
Giant Schnauzer,31.7
Australian Shepherd,23.7
Basenji,10.5
German Shepherd Dog,28.2
Lagotto Romagnolo,13.7
Whippet,16.2
Chesapeake Bay Retriever,29.6
Saint Bernard,70.5
Akita,34.4
Miniature American Shepherd,13.1
Great Pyrenees,44.2
Cairn Terrier,6.1
Greater Swiss Mountain Dog,48.8
Great Pyrenees,42.6
Standard Schnauzer,18.2
French Bulldog,12.7
Pug,7.4
Chihuahua,2.7
Bernese Mountain Dog,41.6
Miniature American Shepherd,11.0
Labrador Retriever,31.7
Bernese Mountain Dog,47.5
Australian Shepherd,22.1
Bloodhound,42.3
Golden Retriever,28.4
Nova Scotia Duck Tolling Retriever,19.6
Belgian Malinois,29.5
Boykin Spaniel,15.0
Havanese,4.8
Lhasa Apso,7.0
Shiba Inu,8.8
English Cocker Spaniel,12.8
Chihuahua,2.7
Anatolian Shepherd Dog,58.1
Airedale Terrier,27.6
Yorkshire Terrier,3.2
Scottish Terrier,8.8
Collie,32.6
Labrador Retriever,29.9
English Cocker Spaniel,13.3
Dachshund,9.3
Bloodhound,39.3
Australian Shepherd,18.6
Chinese Shar-Pei,24.5
Golden Retriever,30.4
Pembroke Welsh Corgi,13.2
Vizsla,23.2
Cocker Spaniel,10.8
Cardigan Welsh Corgi,12.9
Mastiff,87.8
Border Terrier,6.2
Chinese Shar-Pei,25.2
Siberian Husky,20.8
Great Pyrenees,44.0
Rottweiler,52.2
American Staffordshire Terrier,24.3
Bernese Mountain Dog,39.3
Poodle (Toy),2.1
West Highland White Terrier,6.9
Newfoundland,56.4
American Staffordshire Terrier,26.8
German Shorthaired Pointer,25.4
Rottweiler,48.7
Havanese,4.1
Pomeranian,2.6
Collie,26.8
Vizsla,22.1
German Shorthaired Pointer,27.9
Australian Shepherd,20.4
Shetland Sheepdog,8.7
Dachshund,12.8
German Shorthaired Pointer,26.0
Labrador Retriever,31.9
Rottweiler,44.9
Siberian Husky,23.7
English Setter,29.4
Rat Terrier,7.6
Beagle,11.3
German Shepherd Dog,36.0
Labrador Retriever,28.5
Airedale Terrier,27.4
Labrador Retriever,27.0
Miniature Schnauzer,6.7
Brittany,15.4
Labrador Retriever,28.2
Weimaraner,36.2
Irish Wolfhound,51.7
Labrador Retriever,33.7
German Shepherd Dog,34.0
Poodle (Standard),26.8
Golden Retriever,30.8
English Cocker Spaniel,13.2
Basenji,10.5
Chesapeake Bay Retriever,32.9
Poodle (Miniature),6.6
Whippet,14.9
Labrador Retriever,28.8
Soft Coated Wheaten Terrier,17.4
Collie,28.3
Lhasa Apso,6.7
Basenji,10.4
Tibetan Terrier,10.5
Great Dane,65.5
German Wirehaired Pointer,26.2
Poodle (Miniature),5.8
Great Dane,73.7
Bloodhound,41.2
Dalmatian,22.2
English Setter,29.5
Beagle,9.6
French Bulldog,12.7
Pomeranian,2.2
Shetland Sheepdog,9.0
French Bulldog,12.7
Border Terrier,6.3
Portuguese Water Dog,19.3
Irish Setter,28.0
Bulldog,21.1
Chinese Crested,4.4
Shiba Inu,8.3
Poodle (Miniature),4.6
Rhodesian Ridgeback,36.4
Saint Bernard,74.2
Siberian Husky,22.2
Anatolian Shepherd Dog,52.1
German Shorthaired Pointer,28.0
German Shorthaired Pointer,29.3
Bernese Mountain Dog,38.9
Bull Terrier,28.5
English Cocker Spaniel,14.3
Siberian Husky,22.4
Rottweiler,48.1
Havanese,4.9
Bichon Frise,6.5
Cairn Terrier,6.1
Chihuahua,2.7
English Setter,25.5
Coton de Tulear,5.2
Havanese,4.8
Old English Sheepdog,36.5
Rhodesian Ridgeback,33.3
Shih Tzu,4.8
German Wirehaired Pointer,25.9
German Shepherd Dog,38.2
Great Dane,70.6
Soft Coated Wheaten Terrier,15.6
Miniature Schnauzer,8.0
Rottweiler,52.0
Akita,53.8
Labrador Retriever,28.1
German Shorthaired Pointer,23.5
Bullmastiff,53.7
Russell Terrier,5.8
Poodle (Miniature),5.6
Poodle (Toy),2.3
Poodle (Standard),26.5
Pembroke Welsh Corgi,13.2
Pembroke Welsh Corgi,13.3
Basset Hound,23.2
American Staffordshire Terrier,24.2
Poodle (Miniature),5.1
Great Pyrenees,42.5
German Shepherd Dog,29.9
Mastiff,77.5
Whippet,15.4
Shetland Sheepdog,8.8
Siberian Husky,24.5
Boston Terrier,7.3
Australian Cattle Dog,18.7
Cocker Spaniel,11.3
Boxer,26.1
Airedale Terrier,28.4
Labrador Retriever,29.4
Pembroke Welsh Corgi,13.2
Pomeranian,2.2
Wirehaired Pointing Griffon,24.1
Bullmastiff,53.8
Siberian Husky,15.9
Beagle,9.8
Labrador Retriever,33.5
Belgian Malinois,30.4
Shih Tzu,6.0
English Springer Spaniel,20.0
French Bulldog,12.7
Labrador Retriever,34.4
Saint Bernard,69.7
Collie,27.5
English Springer Spaniel,21.4
Cavalier King Charles Spaniel,7.5
Wirehaired Pointing Griffon,25.6
Border Terrier,5.8
Doberman Pinscher,33.4
Dachshund,11.2
Beagle,11.5
Leonberger,59.1
Australian Shepherd,22.0
Soft Coated Wheaten Terrier,15.6
Brittany,15.6
Vizsla,21.7
Siberian Husky,22.7
Poodle (Miniature),6.0
Vizsla,24.4
Chow Chow,25.3
Golden Retriever,27.9
Labrador Retriever,30.5
German Shepherd Dog,35.5
American Staffordshire Terrier,28.9
Papillon,3.5
Brussels Griffon,4.1
Cocker Spaniel,11.8
Wirehaired Pointing Griffon,25.2
Labrador Retriever,30.7
Labrador Retriever,30.5
Beagle,9.6
Lhasa Apso,6.5
Chihuahua,2.7
Siberian Husky,19.4
Poodle (Toy),2.2
Saint Bernard,71.4
Boykin Spaniel,15.1
Airedale Terrier,27.1
French Bulldog,12.7
Labrador Retriever,32.5
Brussels Griffon,4.2
West Highland White Terrier,7.7
Bulldog,21.3
Rottweiler,45.9
Rat Terrier,7.8
Beagle,9.1
Rottweiler,48.6
Poodle (Standard),26.5
German Shorthaired Pointer,27.7
Poodle (Toy),1.9
Chinese Crested,4.5
Great Pyrenees,41.1
French Bulldog,12.7
Pug,7.2
Belgian Malinois,28.8
Miniature American Shepherd,13.5
Leonberger,62.1
Flat-Coated Retriever,30.4
Labrador Retriever,31.6
Golden Retriever,28.4
Great Dane,65.5
Chesapeake Bay Retriever,28.2
Poodle (Miniature),5.4
Siberian Husky,24.7
Norwegian Elkhound,23.2
Bouvier des Flandres,37.0
Portuguese Water Dog,23.4
Cavalier King Charles Spaniel,7.6
Staffordshire Bull Terrier,13.5
Cairn Terrier,6.1
Collie,27.3
Labrador Retriever,28.8
Giant Schnauzer,32.8
Siberian Husky,22.8
Labrador Retriever,30.1
Basset Hound,26.6
Standard Schnauzer,16.9
Maltese,3.2
Bernese Mountain Dog,41.4
Great Dane,56.9
Golden Retriever,30.5
Irish Setter,29.1
English Setter,28.7
Chinese Crested,4.7
Labrador Retriever,29.2
Boxer,23.7
Russell Terrier,6.4
Irish Wolfhound,50.2
Beagle,7.0
French Bulldog,12.7
Vizsla,22.3
Labrador Retriever,27.8
Portuguese Water Dog,23.8
Golden Retriever,31.4
Lagotto Romagnolo,13.0
Vizsla,23.3
German Shepherd Dog,28.9
English Springer Spaniel,20.0
Poodle (Standard),24.6
German Shorthaired Pointer,25.5
Border Collie,21.0
Golden Retriever,29.2
Brussels Griffon,3.9
French Bulldog,12.7
German Shepherd Dog,34.1
Bulldog,21.2
Nova Scotia Duck Tolling Retriever,19.5
Golden Retriever,29.9
Boxer,16.4
Italian Greyhound,5.1
Weimaraner,28.9
Poodle (Toy),2.3
Chihuahua,2.7
Pug,7.2
German Shepherd Dog,27.7
Border Collie,19.1
Brittany,14.0
Vizsla,22.8
Basset Hound,20.6
Bouvier des Flandres,38.8
Greater Swiss Mountain Dog,56.0
Bloodhound,43.1
Bloodhound,41.6
English Cocker Spaniel,12.9
Old English Sheepdog,38.0
Norwegian Elkhound,23.5
Cavalier King Charles Spaniel,7.0
Nova Scotia Duck Tolling Retriever,19.4
Rhodesian Ridgeback,34.2
Poodle (Toy),2.3
Cavalier King Charles Spaniel,6.8
Golden Retriever,29.8
English Springer Spaniel,20.2
Bulldog,19.5
Bulldog,20.8
Mastiff,69.3
Poodle (Toy),2.1
Siberian Husky,23.5
Cardigan Welsh Corgi,15.1
Dalmatian,27.4
Bulldog,19.7
Labrador Retriever,28.3
Cocker Spaniel,10.5
Belgian Malinois,25.3
Yorkshire Terrier,3.2
Poodle (Toy),2.4
German Shorthaired Pointer,28.6
Miniature American Shepherd,16.9
Mastiff,77.7
Dachshund,6.2
Mastiff,79.5
Vizsla,24.2
Boston Terrier,9.7
Dogue de Bordeaux,45.9
Golden Retriever,28.4
Labrador Retriever,28.6
Great Pyrenees,41.9
Dogue de Bordeaux,46.3
Keeshond,18.3
German Shepherd Dog,33.7
Chihuahua,2.7
Labrador Retriever,27.9
Mastiff,83.8
Beagle,10.5
Chinese Crested,4.6
Pembroke Welsh Corgi,13.1
Shiba Inu,9.6
Soft Coated Wheaten Terrier,15.4
Brittany,16.2
German Shorthaired Pointer,29.5
Pomeranian,3.1
Bulldog,20.0
Basset Hound,27.3
Poodle (Miniature),6.2
Bichon Frise,7.4
Great Dane,62.0
Pembroke Welsh Corgi,13.0
Poodle (Toy),2.3
Havanese,4.9
German Shepherd Dog,27.6
Weimaraner,33.6
Standard Schnauzer,21.1
Irish Wolfhound,53.1
German Shepherd Dog,29.5
French Bulldog,12.7
German Shepherd Dog,29.3
Basset Hound,20.9
Labrador Retriever,34.8
Miniature American Shepherd,11.3
Leonberger,56.2
Bull Terrier,29.4
German Shorthaired Pointer,27.3
Boston Terrier,8.4
Boxer,22.1
Beagle,10.2
Bloodhound,42.1
Shih Tzu,5.7
Mastiff,89.0
Maltese,3.2
Rottweiler,45.1
Wirehaired Pointing Griffon,23.5
Alaskan Malamute,36.5
Border Collie,22.2
Bichon Frise,7.3
Poodle (Miniature),5.5
German Shorthaired Pointer,23.7
Bloodhound,45.2
Poodle (Standard),25.3
Beagle,10.7
Labrador Retriever,30.0
Dogue de Bordeaux,47.0
Maltese,3.2
Bichon Frise,6.2
Dalmatian,26.4
Bernese Mountain Dog,43.0
Beagle,9.3
Chinese Shar-Pei,24.2
Shih Tzu,5.4
Bulldog,20.2
French Bulldog,12.7
French Bulldog,12.7
Portuguese Water Dog,20.2
Bichon Frise,6.1
Weimaraner,34.1
Alaskan Malamute,36.9
Basset Hound,21.2
Border Collie,19.6
Basenji,10.7
Rottweiler,51.5
Bulldog,20.3
Cocker Spaniel,11.2
Pomeranian,1.7
English Setter,31.8
Miniature American Shepherd,14.4
German Shepherd Dog,34.3
Golden Retriever,28.7
Shih Tzu,5.5
Rat Terrier,9.5
Havanese,4.5
Poodle (Standard),26.6
Pembroke Welsh Corgi,13.0
Leonberger,56.0
Beagle,11.1
Miniature American Shepherd,12.8
Anatolian Shepherd Dog,46.5
